en_name	en_url	en_abbr	fr_name	fr_url	fr_abbr
Canada Employment Insurance Commission	https://www.canada.ca/en/employment-social-development/corporate/portfolio/ei-commission.html	CEIC	Commission de l'assurance-emploi du Canada	https://www.canada.ca/fr/emploi-developpement-social/ministere/portefeuille/commission-assurance-emploi.html	CAEC
Immigration and Refugee Board of Canada	https://www.canada.ca/en/immigration-refugee.html	IRB	Commission de l'immigration et du statut de réfugié du Canada	https://www.canada.ca/fr/immigration-statut-refugie.html	CISR
National Capital Commission	http://www.ncc-ccn.gc.ca/	NCC	Commission de la capitale nationale	http://www.ccn-ncc.gc.ca/	CCN
Public Service Commission of Canada	https://www.canada.ca/en/public-service-commission.html	PSC	Commission de la fonction publique du Canada	https://www.canada.ca/fr/commission-fonction-publique.html	CFP
Canada Agricultural Review Tribunal	http://cart-crac.gc.ca/index-en.html	CART	Commission de révision agricole du Canada	http://cart-crac.gc.ca/index-fr.html	CRAC
National Battlefields Commission	http://www.ccbn-nbc.gc.ca/en/	NBC	Commission des champs de bataille nationaux	http://www.ccbn-nbc.gc.ca/fr/	CCBN
Parole Board of Canada	https://www.canada.ca/en/parole-board.html	PBC	Commission des libérations conditionnelles du Canada	https://www.canada.ca/fr/commission-liberations-conditionnelles.html	CLCC
Historic Sites and Monuments Board of Canada	https://www.pc.gc.ca/en/culture/clmhc-hsmbc	HSMBC	Commission des lieux et monuments historiques du Canada	http://www.pc.gc.ca/fr/culture/clmhc-hsmbc/	CLMHC
Public Service Labour Relations and Employment Board	http://pslreb-crtefp.gc.ca/index_e.asp	PSLREB	Commission des relations de travail et de l'emploi dans la fonction publique	http://pslreb-crtefp.gc.ca/index_f.asp	CRTEFP
Copyright Board Canada	http://www.cb-cda.gc.ca/home-accueil-e.html	CB	Commission du droit d'auteur Canada	http://www.cb-cda.gc.ca/home-accueil-f.html	CDA
