dept_name	dept_url	dept_abbr
Royal Canadian Mint	http://www.mint.ca/store/template/home.jsp	Mint
Royal Canadian Mounted Police	http://www.rcmp-grc.gc.ca/en/home	RCMP
Royal Canadian Mounted Police External Review Committee	https://www.canada.ca/en/rcmp-external-review-committee.html	ERC
Royal Canadian Navy	http://www.navy-marine.forces.gc.ca/en/index.page	RCN
Royal Military College of Canada	http://www.rmcc-cmrc.ca/en	RMCC
Secretariat of the National Security and Intelligence Committee of Parliamentarians	https://www.canada.ca/en/secretariat-national-security-intelligence-committee-parliamentarians.html	NSICOP
Security Intelligence Review Committee	http://www.sirc-csars.gc.ca/index-eng.html	SIRC
Service Canada	https://www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html	ServCan
Shared Services Canada	https://www.canada.ca/en/shared-services.html	SSC
Social Sciences and Humanities Research Council of Canada	https://www.canada.ca/en/social-sciences-humanities-research.html	SSHRC
Social Security Tribunal of Canada	http://www1.canada.ca/en/sst/	SST
Standards Council of Canada	http://www.scc.ca/en	SCC-CCN
Statistics Canada	https://www.statcan.gc.ca/eng/start	StatCan
Women and Gender Equality Canada	https://cfc-swc.gc.ca/index-en.html	WAGE
Superintendent of Bankruptcy Canada (Office of the)	http://www.ic.gc.ca/eic/site/bsf-osb.nsf/eng/home	OSB
Superintendent of Financial Institutions Canada (Office of the)	http://www.tbs-sct.gc.ca/aedb-bdve/org-eng.aspx?Org=67	OSFI
Supreme Court of Canada	http://www.scc-csc.ca/home-accueil/index-eng.aspx	SCC
Tax Court of Canada	http://www.tcc-cci.gc.ca/tcc-cci_Eng/Index.html	TCC
Taxpayers' Ombudsman (Office of the)	https://www.canada.ca/en/taxpayers-ombudsman.html	OTO
Telefilm Canada	http://www.telefilm.ca/en/?q=en	
Translation Bureau	http://www.tpsgc-pwgsc.gc.ca/bt-tb/index-eng.html	
Transport Canada	https://www.canada.ca/en/transport-canada.html	TC
Transportation Appeal Tribunal of Canada	http://www.tatc.gc.ca/index.php	TATC
Transportation Safety Board of Canada	https://www.canada.ca/en/transportation-safety-board.html	TSB
Treasury Board of Canada Secretariat	https://www.canada.ca/en/treasury-board-secretariat.html	TBS
Veterans Affairs Canada	https://www.canada.ca/en/veterans-affairs-canada.html	VAC
Veterans' Ombudsman (Office of the)	http://www.ombudsman-veterans.gc.ca/eng	
Veterans Review and Appeal Board	https://www.canada.ca/en/veterans-review-appeal-board.html	VRAB
VIA Rail Canada	http://www.viarail.ca/en	VIA Rail
Virtual Museum of Canada	http://www.virtualmuseum.ca/home/	VMC
Western Economic Diversification Canada	https://www.wd-deo.gc.ca/eng/home.asp	WD
Windsor-Detroit Bridge Authority	https://www.wdbridge.com/	WDBA
Youth	https://www.canada.ca/en/youth.html	YOUTH
